doi,venues,years,title,download_policy
10.1145/3592146,SIGGRAPH; TOG,2023,PolyStokes: A Polynomial Model Reduction Method for Viscous Fluid Simulation,download_once_by_doi
10.1145/3592147,SIGGRAPH; TOG,2023,Towards Material Digitization with a Dual-scale Optical System,download_once_by_doi
10.1145/3592390,SIGGRAPH; TOG,2023,Materialistic: Selecting Similar Materials in Images,download_once_by_doi
10.1145/3592391,SIGGRAPH; TOG,2023,The Visual Language of Fabrics,download_once_by_doi
10.1145/3592392,SIGGRAPH; TOG,2023,Semi-supervised reference-based sketch extraction using a contrastive learning framework,download_once_by_doi
10.1145/3592393,SIGGRAPH; TOG,2023,Deployable strip structures,download_once_by_doi
10.1145/3592394,SIGGRAPH; TOG,2023,Building a Virtual Weakly-Compressible Wind Tunnel Testing Facility,download_once_by_doi
10.1145/3592395,SIGGRAPH; TOG,2023,Example-based Motion Synthesis via Generative Motion Matching,download_once_by_doi
10.1145/3592396,SIGGRAPH; TOG,2023,Robust Low-Poly Meshing for General 3D Models,download_once_by_doi
10.1145/3592397,SIGGRAPH; TOG,2023,Complex Wrinkle Field Evolution,download_once_by_doi
10.1145/3592398,SIGGRAPH; TOG,2023,Walk on Stars: A Grid-Free Monte Carlo Method for PDEs with Neumann Boundary Conditions,download_once_by_doi
10.1145/3592399,SIGGRAPH; TOG,2023,Computational Exploration of Multistable Elastic Knots,download_once_by_doi
10.1145/3592400,SIGGRAPH; TOG,2023,Boundary Value Caching for Walk on Spheres,download_once_by_doi
10.1145/3592401,SIGGRAPH; TOG,2023,Winding Numbers on Discrete Surfaces,download_once_by_doi
10.1145/3592402,SIGGRAPH; TOG,2023,Fluid Cohomology,download_once_by_doi
10.1145/3592403,SIGGRAPH; TOG,2023,Surface Simplification using Intrinsic Error Metrics,download_once_by_doi
10.1145/3592404,SIGGRAPH; TOG,2023,Fast Complementary Dynamics via Skinning Eigenmodes,download_once_by_doi
10.1145/3592405,SIGGRAPH; TOG,2023,ColorfulCurves: Palette-Aware Lightness Control and Color Editing via Sparse Optimization,download_once_by_doi
10.1145/3592406,SIGGRAPH; TOG,2023,Towards Attention–aware Foveated Rendering,download_once_by_doi
10.1145/3592407,SIGGRAPH; TOG,2023,Random-Access Neural Compression of Material Textures,download_once_by_doi
10.1145/3592408,SIGGRAPH; TOG,2023,Learning Physically Simulated Tennis Skills from Broadcast Videos,download_once_by_doi
10.1145/3592409,SIGGRAPH; TOG,2023,Inkjet 4D Print: Self-folding Tessellated Origami Objects by Inkjet UV Printing,download_once_by_doi
10.1145/3592410,SIGGRAPH; TOG,2023,Galaxy Maps: Localized Foliations for Bijective Volumetric Mapping,download_once_by_doi
10.1145/3592411,SIGGRAPH; TOG,2023,PCBend: Light Up Your 3D Shapes With Foldable Circuit Boards,download_once_by_doi
10.1145/3592412,SIGGRAPH; TOG,2023,Orientable Dense Cyclic Infill for Anisotropic Appearance Fabrication,download_once_by_doi
10.1145/3592413,SIGGRAPH; TOG,2023,VideoDoodles: Hand-Drawn Animations on Videos with Scene-Aware Canvases,download_once_by_doi
10.1145/3592414,SIGGRAPH; TOG,2023,A Full-Wave Reference Simulator for Computing Surface Reflectance,download_once_by_doi
10.1145/3592415,SIGGRAPH; TOG,2023,HumanRF: High-Fidelity Neural Radiance Fields for Humans in Motion,download_once_by_doi
10.1145/3592416,SIGGRAPH; TOG,2023,ShapeCoder: Discovering Abstractions for Visual Programs from Unstructured Primitives,download_once_by_doi
10.1145/3592417,SIGGRAPH; TOG,2023,Motion from Shape Change,download_once_by_doi
10.1145/3592418,SIGGRAPH; TOG,2023,Patternshop: Editing Point Patterns by Image Manipulation,download_once_by_doi
10.1145/3592419,SIGGRAPH; TOG,2023,ETER: Elastic Tessellation for Real-Time Pixel-Accurate Rendering of Large-Scale NURBS Models,download_once_by_doi
10.1145/3592420,SIGGRAPH; TOG,2023,Differential Operators on Sketches via Alpha Contours,download_once_by_doi
10.1145/3592421,SIGGRAPH; TOG,2023,Expansion Cones: A Progressive Volumetric Mapping Framework,download_once_by_doi
10.1145/3592422,SIGGRAPH; TOG,2023,Forming Terrains by Glacial Erosion,download_once_by_doi
10.1145/3592423,SIGGRAPH; TOG,2023,FactorMatte: Redefining Video Matting for Re-Composition Tasks,download_once_by_doi
10.1145/3592424,SIGGRAPH; TOG,2023,Improved Water Sound Synthesis using Coupled Bubbles,download_once_by_doi
10.1145/3592425,SIGGRAPH; TOG,2023,Anatomically Detailed Simulation of Human Torso,download_once_by_doi
10.1145/3592426,SIGGRAPH; TOG,2023,MERF: Memory-Efficient Radiance Fields for Real-time View Synthesis in Unbounded Scenes,download_once_by_doi
10.1145/3592427,SIGGRAPH; TOG,2023,"An Extensible, Data-Oriented Architecture for High-Performance, Many-World Simulation",download_once_by_doi
10.1145/3592428,SIGGRAPH; TOG,2023,In-Timestep Remeshing for Contacting Elastodynamics,download_once_by_doi
10.1145/3592429,SIGGRAPH; TOG,2023,Virtual Mirrors: Non-Line-of-Sight Imaging Beyond the Third Bounce,download_once_by_doi
10.1145/3592430,SIGGRAPH; TOG,2023,Flexible Isosurface Extraction for Gradient-Based Mesh Optimization,download_once_by_doi
10.1145/3592431,SIGGRAPH; TOG,2023,Effect-based Multi-viewer Caching for Cloud-native Rendering,download_once_by_doi
10.1145/3592432,SIGGRAPH; TOG,2023,Skin-Screen: A Computational Fabrication Framework for Color Tattoos,download_once_by_doi
10.1145/3592433,SIGGRAPH; TOG,2023,3D Gaussian Splatting for Real-Time Radiance Field Rendering,download_once_by_doi
10.1145/3592434,SIGGRAPH; TOG,2023,Trim Regions for Online Computation of From-Region Potentially Visible Sets,download_once_by_doi
10.1145/3592435,SIGGRAPH; TOG,2023,Revisiting controlled mixture sampling for rendering applications,download_once_by_doi
10.1145/3592436,SIGGRAPH; TOG,2023,Juxtaform: interactive visual summarization for exploratory shape design,download_once_by_doi
10.1145/3592437,SIGGRAPH; TOG,2023,Min-Deviation-Flow in Bi-directed Graphs for T-Mesh Quantization,download_once_by_doi
10.1145/3592438,SIGGRAPH; TOG,2023,Seeing Photons in Color,download_once_by_doi
10.1145/3592439,SIGGRAPH; TOG,2023,P2M: A Fast Solver for Querying Distance from Point to Mesh Surface,download_once_by_doi
10.1145/3592440,SIGGRAPH; TOG,2023,Micro-Mesh Construction,download_once_by_doi
10.1145/3592441,SIGGRAPH; TOG,2023,Étendue Expansion in Holographic Near Eye Displays through Sparse Eye-box Generation Using Lens Array Eyepiece,download_once_by_doi
10.1145/3592442,SIGGRAPH; TOG,2023,3DShape2VecSet: A 3D Shape Representation for Neural Fields and Generative Diffusion Models,download_once_by_doi
10.1145/3592443,SIGGRAPH; TOG,2023,Neural Prefiltering for Correlation-Aware Levels of Detail,download_once_by_doi
10.1145/3592444,SIGGRAPH; TOG,2023,Generative Design of Sheet Metal Structures,download_once_by_doi
10.1145/3592445,SIGGRAPH; TOG,2023,Efficient Embeddings in Exact Arithmetic,download_once_by_doi
10.1145/3592446,SIGGRAPH; TOG,2023,A Practical Wave Optics Reflection Model for Hair and Fur,download_once_by_doi
10.1145/3592447,SIGGRAPH; TOG,2023,Composite Motion Learning with Task Control,download_once_by_doi
10.1145/3592448,SIGGRAPH; TOG,2023,Temporal Set Inversion for Animated Implicits,download_once_by_doi
10.1145/3592449,SIGGRAPH; TOG,2023,Semantics and Scheduling for Machine Knitting Compilers,download_once_by_doi
10.1145/3592450,SIGGRAPH; TOG,2023,Blended Latent Diffusion,download_once_by_doi
10.1145/3592451,SIGGRAPH; TOG,2023,UniTune: Text-Driven Image Editing by Fine Tuning a Diffusion Model on a Single Image,download_once_by_doi
10.1145/3592452,SIGGRAPH; TOG,2023,Topology driven approximation to rational surface-surface intersection via interval algebraic topology analysis,download_once_by_doi
10.1145/3592453,SIGGRAPH; TOG,2023,Guided Linear Upsampling,download_once_by_doi
10.1145/3592454,SIGGRAPH; TOG,2023,DOC: Differentiable Optimal Control for Retargeting Motions onto Legged Robots,download_once_by_doi
10.1145/3592455,SIGGRAPH; TOG,2023,NeRSemble: Multi-view Radiance Field Reconstruction of Human Heads,download_once_by_doi
10.1145/3592456,SIGGRAPH; TOG,2023,Bodyformer: Semantics-guided 3D Body Gesture Synthesis with Transformer,download_once_by_doi
10.1145/3592457,SIGGRAPH; TOG,2023,Locally Meshable Frame Fields,download_once_by_doi
10.1145/3592458,SIGGRAPH; TOG,2023,"Listen, Denoise, Action! Audio-Driven Motion Synthesis with Diffusion Models",download_once_by_doi
10.1145/3592459,SIGGRAPH; TOG,2023,GREIL-Crowds: Crowd Simulation with Deep Reinforcement Learning and Examples,download_once_by_doi
10.1145/3592460,SIGGRAPH; TOG,2023,Real-Time Radiance Fields for Single-Image Portrait View Synthesis,download_once_by_doi
10.1145/3618306,SIGGRAPH Asia; TOG,2023,Computational Design of LEGO <sup>®</sup> Sketch Art,download_once_by_doi
10.1145/3618307,SIGGRAPH Asia; TOG,2023,ART-Owen Scrambling,download_once_by_doi
10.1145/3618308,SIGGRAPH Asia; TOG,2023,Analysis and Synthesis of Digital Dyadic Sequences,download_once_by_doi
10.1145/3618309,SIGGRAPH Asia; TOG,2023,GroomGen: A High-Quality Generative Hair Model Using Hierarchical Latent Representations,download_once_by_doi
10.1145/3618310,SIGGRAPH Asia; TOG,2023,Non-Newtonian ViRheometry via Similarity Analysis,download_once_by_doi
10.1145/3618311,SIGGRAPH Asia; TOG,2023,Neural-Singular-Hessian: Implicit Neural Representation of Unoriented Point Clouds by Enforcing Singular Hessian,download_once_by_doi
10.1145/3618312,SIGGRAPH Asia; TOG,2023,EXIM: A Hybrid Explicit-Implicit Representation for Text-Guided 3D Shape Generation,download_once_by_doi
10.1145/3618313,SIGGRAPH Asia; TOG,2023,A Parametric Kinetic Solver for Simulating Boundary-Dominated Turbulent Flow Phenomena,download_once_by_doi
10.1145/3618314,SIGGRAPH Asia; TOG,2023,Robust Zero Level-Set Extraction from Unsigned Distance Fields Based on Double Covering,download_once_by_doi
10.1145/3618315,SIGGRAPH Asia; TOG,2023,Concept Decomposition for Visual Exploration and Inspiration,download_once_by_doi
10.1145/3618316,SIGGRAPH Asia; TOG,2023,Editing Motion Graphics Video via Motion Vectorization and Transformation,download_once_by_doi
10.1145/3618317,SIGGRAPH Asia; TOG,2023,Learning the Geodesic Embedding with Graph Neural Networks,download_once_by_doi
10.1145/3618318,SIGGRAPH Asia; TOG,2023,DiffFR: Differentiable SPH-Based Fluid-Rigid Coupling for Rigid Body Control,download_once_by_doi
10.1145/3618319,SIGGRAPH Asia; TOG,2023,Towards Garment Sewing Pattern Reconstruction from a Single Image,download_once_by_doi
10.1145/3618320,SIGGRAPH Asia; TOG,2023,Commonsense Knowledge-Driven Joint Reasoning Approach for Object Retrieval in Virtual Reality,download_once_by_doi
10.1145/3618321,SIGGRAPH Asia; TOG,2023,CamP: Camera Preconditioning for Neural Radiance Fields,download_once_by_doi
10.1145/3618322,SIGGRAPH Asia; TOG,2023,A Neural Space-Time Representation for Text-to-Image Personalization,download_once_by_doi
10.1145/3618323,SIGGRAPH Asia; TOG,2023,EMS: 3D Eyebrow Modeling from Single-View Images,download_once_by_doi
10.1145/3618324,SIGGRAPH Asia; TOG,2023,VASCO: Volume and Surface Co-Decomposition for Hybrid Manufacturing,download_once_by_doi
10.1145/3618325,SIGGRAPH Asia; TOG,2023,Neural Metamaterial Networks for Nonlinear Material Design,download_once_by_doi
10.1145/3618326,SIGGRAPH Asia; TOG,2023,Text-Guided Synthesis of Eulerian Cinemagraphs,download_once_by_doi
10.1145/3618327,SIGGRAPH Asia; TOG,2023,Interaction-Driven Active 3D Reconstruction with Object Interiors,download_once_by_doi
10.1145/3618328,SIGGRAPH Asia; TOG,2023,TwinTex: Geometry-Aware Texture Generation for Abstracted 3D Architectural Models,download_once_by_doi
10.1145/3618329,SIGGRAPH Asia; TOG,2023,Decaf: Monocular Deformation Capture for Face and Hand Interactions,download_once_by_doi
10.1145/3618330,SIGGRAPH Asia; TOG,2023,Warped-Area Reparameterization of Differential Path Integrals,download_once_by_doi
10.1145/3618331,SIGGRAPH Asia; TOG,2023,Amortizing Samples in Physics-Based Inverse Rendering Using ReSTIR,download_once_by_doi
10.1145/3618332,SIGGRAPH Asia; TOG,2023,3D Bézier Guarding: Boundary-Conforming Curved Tetrahedral Meshing,download_once_by_doi
10.1145/3618333,SIGGRAPH Asia; TOG,2023,Object Motion Guided Human Motion Synthesis,download_once_by_doi
10.1145/3618334,SIGGRAPH Asia; TOG,2023,The Shortest Route is Not Always the Fastest: Probability-Modeled Stereoscopic Eye Movement Completion Time in VR,download_once_by_doi
10.1145/3618335,SIGGRAPH Asia; TOG,2023,Doppler Time-of-Flight Rendering,download_once_by_doi
10.1145/3618336,SIGGRAPH Asia; TOG,2023,Reconstructing Close Human Interactions from Multiple Views,download_once_by_doi
10.1145/3618337,SIGGRAPH Asia; TOG,2023,Efficient Visualization of Light Pollution for the Night Sky,download_once_by_doi
10.1145/3618338,SIGGRAPH Asia; TOG,2023,Scene-Aware Activity Program Generation with Language Guidance,download_once_by_doi
10.1145/3618339,SIGGRAPH Asia; TOG,2023,Online Scene CAD Recomposition via Autonomous Scanning,download_once_by_doi
10.1145/3618340,SIGGRAPH Asia; TOG,2023,Neural Field Convolutions by Repeated Differentiation,download_once_by_doi
10.1145/3618341,SIGGRAPH Asia; TOG,2023,High-Order Moment-Encoded Kinetic Simulation of Turbulent Flows,download_once_by_doi
10.1145/3618342,SIGGRAPH Asia; TOG,2023,ProSpect: Prompt Spectrum for Attribute-Aware Personalization of Diffusion Models,download_once_by_doi
10.1145/3618343,SIGGRAPH Asia; TOG,2023,<i>NodeGit</i> : Diffing and Merging Node Graphs,download_once_by_doi
10.1145/3618344,SIGGRAPH Asia; TOG,2023,Power Plastics: A Hybrid Lagrangian/Eulerian Solver for Mesoscale Inelastic Flows,download_once_by_doi
10.1145/3618345,SIGGRAPH Asia; TOG,2023,Meshes with Spherical Faces,download_once_by_doi
10.1145/3618346,SIGGRAPH Asia; TOG,2023,DR-Occluder: Generating Occluders Using Differentiable Rendering,download_once_by_doi
10.1145/3618347,SIGGRAPH Asia; TOG,2023,High Density Ratio Multi-Fluid Simulation with Peridynamics,download_once_by_doi
10.1145/3618348,SIGGRAPH Asia; TOG,2023,Learning Based 2D Irregular Shape Packing,download_once_by_doi
10.1145/3618349,SIGGRAPH Asia; TOG,2023,Topology Guaranteed B-Spline Surface/Surface Intersection,download_once_by_doi
10.1145/3618350,SIGGRAPH Asia; TOG,2023,Authoring and Simulating Meandering Rivers,download_once_by_doi
10.1145/3618351,SIGGRAPH Asia; TOG,2023,GarmentCode: Programming Parametric Sewing Patterns,download_once_by_doi
10.1145/3618352,SIGGRAPH Asia; TOG,2023,Constrained Delaunay Tetrahedrization: A Robust and Practical Approach,download_once_by_doi
10.1145/3618353,SIGGRAPH Asia; TOG,2023,"SLANG.D: Fast, Modular and Differentiable Shader Programming",download_once_by_doi
10.1145/3618354,SIGGRAPH Asia; TOG,2023,Neural Packing: from Visual Sensing to Reinforcement Learning,download_once_by_doi
10.1145/3618355,SIGGRAPH Asia; TOG,2023,Developable Quad Meshes and Contact Element Nets,download_once_by_doi
10.1145/3618356,SIGGRAPH Asia; TOG,2023,Controllable Group Choreography Using Contrastive Diffusion,download_once_by_doi
10.1145/3618357,SIGGRAPH Asia; TOG,2023,Diffusion Posterior Illumination for Ambiguity-Aware Inverse Rendering,download_once_by_doi
10.1145/3618358,SIGGRAPH Asia; TOG,2023,OpenSVBRDF: A Database of Measured Spatially-Varying Reflectance,download_once_by_doi
10.1145/3618359,SIGGRAPH Asia; TOG,2023,Locally-Adaptive Level-of-Detail for Hardware-Accelerated Ray Tracing,download_once_by_doi
10.1145/3618360,SIGGRAPH Asia; TOG,2023,Manifold Path Guiding for Importance Sampling Specular Chains,download_once_by_doi
10.1145/3618361,SIGGRAPH Asia; TOG,2023,Reconstruction of Machine-Made Shapes from Bitmap Sketches,download_once_by_doi
10.1145/3618362,SIGGRAPH Asia; TOG,2023,Efficient Hybrid Zoom Using Camera Fusion on Mobile Phones,download_once_by_doi
10.1145/3618363,SIGGRAPH Asia; TOG,2023,MIPS-Fusion: Multi-Implicit-Submaps for Scalable and Robust Online Neural RGB-D Reconstruction,download_once_by_doi
10.1145/3618364,SIGGRAPH Asia; TOG,2023,IconShop: Text-Guided Vector Icon Synthesis with Autoregressive Transformers,download_once_by_doi
10.1145/3618365,SIGGRAPH Asia; TOG,2023,MetaLayer: A Meta-Learned BSDF Model for Layered Materials,download_once_by_doi
10.1145/3618366,SIGGRAPH Asia; TOG,2023,C-Shells: Deployable Gridshells with Curved Beams,download_once_by_doi
10.1145/3618367,SIGGRAPH Asia; TOG,2023,"An Implicit Neural Representation for the Image Stack: Depth, All in Focus, and High Dynamic Range",download_once_by_doi
10.1145/3618368,SIGGRAPH Asia; TOG,2023,AvatarStudio: Text-Driven Editing of 3D Dynamic Human Head Avatars,download_once_by_doi
10.1145/3618369,SIGGRAPH Asia; TOG,2023,ScaNeRF: Scalable Bundle-Adjusting Neural Radiance Fields for Large-Scale Scene Rendering,download_once_by_doi
10.1145/3618370,SIGGRAPH Asia; TOG,2023,SAILOR: Synergizing Radiance and Occupancy Fields for Live Human Performance Capture,download_once_by_doi
10.1145/3618371,SIGGRAPH Asia; TOG,2023,GeoLatent: A Geometric Approach to Latent Space Design for Deformable Shape Generators,download_once_by_doi
10.1145/3618372,SIGGRAPH Asia; TOG,2023,Stable Discrete Bending by Analytic Eigensystem and Adaptive Orthotropic Geometric Stiffness,download_once_by_doi
10.1145/3618373,SIGGRAPH Asia; TOG,2023,Low-Light Image Enhancement with Wavelet-Based Diffusion Models,download_once_by_doi
10.1145/3618374,SIGGRAPH Asia; TOG,2023,An Adaptive Fast-Multipole-Accelerated Hybrid Boundary Integral Equation Method for Accurate Diffusion Curves,download_once_by_doi
10.1145/3618375,SIGGRAPH Asia; TOG,2023,AdaptNet: Policy Adaptation for Physics-Based Character Control,download_once_by_doi
10.1145/3618376,SIGGRAPH Asia; TOG,2023,ClothCombo: Modeling Inter-Cloth Interaction for Draping Multi-Layered Clothes,download_once_by_doi
10.1145/3618377,SIGGRAPH Asia; TOG,2023,GARM-LS: A Gradient-Augmented Reference-Map Method for Level-Set Fluid Simulation,download_once_by_doi
10.1145/3618378,SIGGRAPH Asia; TOG,2023,Rectifying Strip Patterns,download_once_by_doi
10.1145/3618379,SIGGRAPH Asia; TOG,2023,Discontinuity-Aware 2D Neural Fields,download_once_by_doi
10.1145/3618380,SIGGRAPH Asia; TOG,2023,Multisource Holography,download_once_by_doi
10.1145/3618381,SIGGRAPH Asia; TOG,2023,From Skin to Skeleton: Towards Biomechanically Accurate 3D Digital Humans,download_once_by_doi
10.1145/3618382,SIGGRAPH Asia; TOG,2023,ToRoS: A Topology Optimization Approach for Designing Robotic Skins,download_once_by_doi
10.1145/3618383,SIGGRAPH Asia; TOG,2023,K-Surfaces: Bézier-Splines Interpolating at Gaussian Curvature Extrema,download_once_by_doi
10.1145/3618384,SIGGRAPH Asia; TOG,2023,Collapsing Embedded Cell Complexes for Safer Hexahedral Meshing,download_once_by_doi
10.1145/3618385,SIGGRAPH Asia; TOG,2023,Projective Sampling for Differentiable Rendering of Geometry,download_once_by_doi
10.1145/3618386,SIGGRAPH Asia; TOG,2023,Shrink &amp; Morph: 3D-Printed Self-Shaping Shells Actuated by a Shape Memory Effect,download_once_by_doi
10.1145/3618387,SIGGRAPH Asia; TOG,2023,Differentiable Rendering of Parametric Geometry,download_once_by_doi
10.1145/3618388,SIGGRAPH Asia; TOG,2023,Progressive Shell Qasistatics for Unstructured Meshes,download_once_by_doi
10.1145/3618389,SIGGRAPH Asia; TOG,2023,Enhancing Diffusion Models with 3D Perspective Geometry Constraints,download_once_by_doi
10.1145/3618390,SIGGRAPH Asia; TOG,2023,Adaptive Shells for Efficient Neural Radiance Field Rendering,download_once_by_doi
10.1145/3618391,SIGGRAPH Asia; TOG,2023,Slippage-Preserving Reshaping of Human-Made 3D Content,download_once_by_doi
10.1145/3618392,SIGGRAPH Asia; TOG,2023,Fluid Simulation on Neural Flow Maps,download_once_by_doi
10.1145/3618393,SIGGRAPH Asia; TOG,2023,ReShader: View-Dependent Highlights for Single Image View-Synthesis,download_once_by_doi
10.1145/3618394,SIGGRAPH Asia; TOG,2023,Metric Optimization in Penner Coordinates,download_once_by_doi
10.1145/3618395,SIGGRAPH Asia; TOG,2023,Depolarized Holography with Polarization-Multiplexing Metasurface,download_once_by_doi
10.1145/3618396,SIGGRAPH Asia; TOG,2023,Computational Design of Flexible Planar Microstructures,download_once_by_doi
10.1145/3618397,SIGGRAPH Asia; TOG,2023,Neural Categorical Priors for Physics-Based Character Control,download_once_by_doi
10.1145/3618398,SIGGRAPH Asia; TOG,2023,Thin On-Sensor Nanophotonic Array Cameras,download_once_by_doi
10.1145/3618399,SIGGRAPH Asia; TOG,2023,BakedAvatar: Baking Neural Fields for Real-Time Head Avatar Synthesis,download_once_by_doi
